school,major,gpa,intern_company_scale,intern_total_months,intern_count,award_level,project_count,cert_count,has_language_cert,overseas_experience,company_size,industry,job_role,label,label_text
College,Engineering,2.57,Small,2,1,None,2,3,1,None,Startup,IT,Developer,1,Pass
Local,Humanities,3.81,Large,6,2,None,2,1,0,LanguageStudy,Large,Manufacturing,Other,1,Pass
InSeoul,CS,3.07,None,0,0,None,1,1,1,None,Startup,Public,Other,1,Pass
InSeoul,Business,3.62,Startup,5,1,School,3,1,0,None,Large,Service,HR,1,Pass
College,Business,2.91,None,0,0,School,0,0,0,Exchange,Large,Manufacturing,Designer,1,Pass
InSeoul,Business,3.41,Large,1,1,National,4,1,1,None,Startup,Finance,Developer,1,Pass
Local,Engineering,3.77,None,0,0,School,1,0,0,None,Small,Retail,Sales,1,Pass
Local,Other,3.57,Startup,2,2,None,0,1,1,LanguageStudy,Large,Retail,Marketer,1,Pass
InSeoul,Business,3.82,None,0,0,None,3,1,0,LanguageStudy,Mid,Manufacturing,Developer,1,Pass
InSeoul,Business,3.52,Small,4,2,None,2,0,0,LanguageStudy,Mid,Finance,Designer,1,Pass
Local,Business,2.85,Large,3,1,None,1,1,1,None,Small,Service,Other,1,Pass
Local,Business,3.31,Startup,12,2,None,1,0,0,None,Small,Service,HR,1,Pass
Local,Engineering,3.04,Startup,3,1,None,2,1,1,None,Large,IT,Sales,1,Pass
Local,CS,3.09,Small,12,2,None,4,0,0,LanguageStudy,Mid,IT,Sales,1,Pass
InSeoul,CS,3.59,Large,6,1,None,3,0,0,None,Mid,Manufacturing,HR,1,Pass
Local,Business,3.52,None,0,0,School,1,0,0,LanguageStudy,Large,Other,Marketer,1,Pass
Local,Engineering,3.56,Startup,2,2,None,2,1,1,None,Large,Finance,Marketer,1,Pass
College,Humanities,3.12,Mid,3,1,Regional,4,2,1,Exchange,Small,Service,Developer,1,Pass
College,Business,4.02,None,0,0,Regional,2,0,0,LanguageStudy,Small,Manufacturing,Marketer,1,Pass
College,CS,3.12,Small,3,1,None,2,2,0,None,Small,Retail,Developer,1,Pass
InSeoul,Business,3.73,None,0,0,None,4,1,0,None,Startup,Manufacturing,Other,1,Pass
Local,Business,3.91,None,0,0,Regional,3,3,1,None,Startup,Manufacturing,Sales,1,Pass
Local,CS,2.94,Mid,12,2,None,3,2,0,OverseasIntern,Mid,Service,Other,1,Pass
College,Business,3.32,Startup,2,2,None,1,0,0,LanguageStudy,Small,Service,Marketer,1,Pass
Local,Engineering,3.34,Startup,1,1,School,3,1,0,None,Large,Manufacturing,Developer,1,Pass
Local,Humanities,3.12,None,0,0,Regional,0,2,0,None,Small,Manufacturing,Sales,1,Pass
InSeoul,Business,3.5,None,0,0,None,2,0,0,Exchange,Mid,IT,Sales,1,Pass
InSeoul,CS,3.28,Small,2,1,Regional,2,3,1,Exchange,Mid,Retail,Designer,1,Pass
InSeoul,Business,3.05,Small,1,1,None,2,1,1,None,Startup,Other,Marketer,1,Pass
College,Engineering,2.36,None,0,0,None,4,1,1,LanguageStudy,Startup,Manufacturing,Developer,1,Pass
Local,Business,3.22,Small,4,1,National,1,0,0,LanguageStudy,Mid,Manufacturing,Marketer,1,Pass
InSeoul,Engineering,3.45,Small,3,1,None,3,1,0,Exchange,Small,Public,Developer,1,Pass
Local,Business,3.23,Small,6,1,National,4,0,0,None,Mid,Public,HR,1,Pass
Local,Other,3.26,None,0,0,None,1,2,1,LanguageStudy,Mid,IT,Developer,1,Pass
InSeoul,Business,3.87,None,0,0,Regional,6,1,0,None,Large,Service,Developer,1,Pass
